#taxonomy	magic.0040	magic.0112	magic.0134	magic.0317	magic.0020	magic.0402	magic.0232	magic.0315	magic.0435	magic.0018	magic.0124	magic.0150	magic.0532	magic.0030	magic.0079	magic.0013	magic.0132	magic.0316	magic.0374	magic.0001	magic.0243	magic.0173	magic.0542	magic.0146	magic.0100	magic.0537	magic.0156	magic.0244	magic.0456	magic.0339	magic.0053	magic.0367	magic.0016	magic.0164	magic.0231	magic.0551	magic.0048	magic.0331	magic.0440	magic.0004	magic.0531	magic.0179	magic.0526	magic.0539	magic.0075	magic.0149	magic.0242	magic.0514	magic.0246	magic.0017	magic.0078	magic.0011	magic.0109	magic.0131	magic.0552	magic.0465	magic.0015	magic.0527	magic.0021	magic.0063	magic.0396	magic.0337	magic.0471	magic.0428	magic.0547	magic.0287	magic.0272	magic.0148	magic.0110	magic.0050	magic.0307	magic.0170	magic.0268	magic.0417	magic.0300	magic.0538	magic.0334	magic.0290	magic.0541	magic.0278	magic.0335	magic.0059	magic.0549	magic.0217	magic.0543	magic.0322	magic.0433	magic.0429	magic.0473	magic.0189	magic.0028
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae	0	120	2	11	151	549	533	1919	592	2	563	1	1153	522	180	2195	3	1064	774	4	1385	1	2	686	40	1170	8	71	1	1356	929	1594	3	19	0	3	0	7	4	90	823	0	876	109	2099	6	446	163	201	475	0	646	3	1	602	510	2	4	2214	1786	0	292	140	1	12	618	2177	1283	1357	1924	609	715	74	61	2	6	119	4	285	242	2	706	436	0	29	9	2	10	211	583	556
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	5	43	12	228	143	44	748	544	2785	19	27119	2	1658	18869	6417	1507	20	75170	2081	126	385	5	15	56	1891	2529	28	60	13	4670	216	755	80	132	4	4	3	11	33	91	1965	4	1850	179	325	15	132	1601	148	772	1	84	9	59	1887	128	1	9	996	3835	2	427	104	0	19	364	321	1468	200	100	628	6725	59	16	1	5	39	3	619	162	0	356	2892	3	86	52	8	13	31	23379	2640
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	2	25	5	94	58	94	6250	57657	6059	23	21010	3	308	15980	208	432	15	116	736	313	739	4	5	194	6224	659	20	65	1	1183	194	88526	158	90	11	3	1	17	29	193	633	0	343	4787	332	142	1109	5752	820	248	1	22459	24	57	1940	1084	5	4	267	551	2	51603	141	2	3	370	3520	145401	388	82269	965	1984	152	16	10	36	35	28	284	167	6	212	1411	2	79	264	10	0	122	4658	10055
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	12	48	34	235	944	164	121	189	621	48	69243	22	93495	55489	1676	168192	26	83	14962	31	25714	3	107	194	1006	904	84	9967	18	88908	290	218	105	177	20	41	8	423	95	1386	6207	42	77625	337	3885	34	1228	3684	4323	298	0	664	7	147	2665	1182	16	300	587	20133	22	60	1853	14	228	34742	81	7553	402	2338	894	213	2453	362	16	79	166	121	248	7582	6	415	1291	13	46	27	24	18	46	961	10915
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	44	123	66	908	18689	1050	6236	378163	104690	147	125129	142	57234	112972	50186	8772	240	142	128416	742	1047	30	214	1433	203552	149743	472	6983	53	241542	120721	183075	347	93	86	126	26	678	193	463	170643	31	77894	2002	204184	676	147915	22009	35979	112249	13	9396	154	326	71077	119170	52	334	279154	251692	67	60023	44929	46	1130	77244	16015	50593	132413	7340	4755	1342	349	5570	222	2984	1763	108	87099	11316	61	142682	16224	44	16632	30	137	2622	9110	13276	121493
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Mediterranea;s__Mediterranea massiliensis	1	53	1	9	206	216	602	1269	1351	0	452	1	297	538	184	455	3	568	568	1	543	0	0	265	69	506	4	26	0	2116	555	950	0	110	1	1	0	1	2	13	1261	0	289	50	2116	3	310	116	207	169	0	99	1	3	445	378	0	1	5898	4101	0	499	161	0	3	893	207	217	964	239	149	378	35	23	2	23	23	2	51	101	0	463	206	0	6	4	1	22	6	337	1327
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella viscericola	0	5	1	0	7	1	2	1022	6	0	182	0	199	147	51	258	0	10	45	0	618	0	0	6	8	11	0	22	0	162	7	737	0	0	0	0	0	0	0	0	81	0	194	37	14	1	491	77	52	7	0	17	0	1	385	441	0	1	230	247	0	269	2	0	0	241	26	87	7	16	21	0	1	2	0	2	1	2	9	4	0	14	85	0	1	1	1	0	2	36	82
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Culturomica;s__Culturomica massiliensis	0	47	0	2	18	0	152	220	53	0	12	1	98	44	1	166	1	7	47	0	0	0	2	0	767	225	0	5	0	187	10	193	0	17	0	1	0	2	0	4	109	0	73	16	36	1	484	24	23	2633	0	298	0	0	152	523	1	0	521	562	0	72	1	0	0	142	11	23	9	276	178	8	56	8	0	0	1	0	2052	47	2	14	118	0	48	7	0	20	0	64	163
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter splanchnicus	0	182	0	4	20	0	168	152	127	1	72	0	19	96	162	31	1	30	232	34	35	0	1	0	42	865	1	7	0	400	67	329	21	246	0	1	0	2	17	51	220	0	26	44	131	1	787	26	45	128	0	445	1	0	489	778	0	1	542	431	0	113	69	0	4	355	779	170	93	500	208	112	23	5	0	2	22	2	66	75	0	54	183	0	18	4	0	5	6	41	141
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;NA	0	12	2	11	76	501	419	20	1094	1	3	0	1	87	1	1	2	6	763	4	60	0	0	606	642	616	1	48	1	1261	324	15	0	2	2	0	1	2	1	0	2435	2	3	32	854	1	8	14	262	20	0	1929	0	1	694	19	1	2	1341	1113	0	5	570	0	12	14	34	6	508	1809	521	41	20	134	0	14	29	0	24	167	0	246	72	1	2	10	1	20	26	27	341
