#taxonomy	magic.0040	magic.0112	magic.0134	magic.0317	magic.0020	magic.0402	magic.0232	magic.0315	magic.0435	magic.0018	magic.0124	magic.0150	magic.0532	magic.0030	magic.0079	magic.0013	magic.0132	magic.0316	magic.0374	magic.0001	magic.0243	magic.0173	magic.0542	magic.0146	magic.0100	magic.0537	magic.0156	magic.0244	magic.0456	magic.0339	magic.0053	magic.0367	magic.0016	magic.0164	magic.0231	magic.0551	magic.0048	magic.0331	magic.0440	magic.0004	magic.0531	magic.0179	magic.0526	magic.0539	magic.0075	magic.0149	magic.0242	magic.0514	magic.0246	magic.0017	magic.0078	magic.0011	magic.0109	magic.0131	magic.0552	magic.0465	magic.0015	magic.0527	magic.0021	magic.0063	magic.0396	magic.0337	magic.0471	magic.0428	magic.0547	magic.0287	magic.0272	magic.0148	magic.0110	magic.0050	magic.0307	magic.0170	magic.0268	magic.0417	magic.0300	magic.0538	magic.0334	magic.0290	magic.0541	magic.0278	magic.0335	magic.0059	magic.0549	magic.0217	magic.0543	magic.0322	magic.0433	magic.0429	magic.0473	magic.0189	magic.0028
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;NA	4041	344	1148	1295	3371	12	359	0	483	105	23	29	16	496	215	5205	1644	1809	9	4	53	50	3991	290	171	1745	613	56	357	2	334	271	58	171	35	16	258	1737	44	60	17	3975	10	382	28	64	710	58	10	6262	13	46	114	23	27	537	25	42	60	194	41	11825	40	178	60	2413	21	9	392	327	27	949	13	143	2798	163	45	3623	62	3	1015	243	41	116	15	166	83	30	372	382	193
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	5	0	2	5	0	0	1	0	2	0	0	0	0	0	1	14	0	0	2	0	0	1	178	0	0	13	2	0	0	0	0	0	0	3	1	6	0	7329	1	0	0	4	0	1	0	0	0	1	0	199	0	2	0	0	2	6	3	0	0	0	0	15	0	0	0	12	0	0	0	2	0	0	0	0	17	1	3	0	1	0	2	0	0	0	0	1	0	0	0	5	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus	16	4	29	78	43	2	1163	9	9795	6	1	1	121	458	1332	30	40	45197	0	4	6	5	45647	6	9	49750	14	0	5	11	0	5	0	3	5	68	11	48	33	4	3	57	5	34	2	5	24	1159	32	142863	0	3	1	1	8	61	24	7	3	3	64	52	7	7	172	1516	3	0	7	18	2	10	0	2	63903	32	87	58	1286	0	15	0	14	4	2	4	10	0	1	12871	3945
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis	409	38	269	329	1624	39	105	3	367	145	8	91	6	165	180	871	1156	28	82	0	121	21	238	504	734	12	14	844	163	20	53	306	23	52	72	38	27	914	154	39	107	187	5	291	14	13	30	19	9	433	2	12	179	65	87	171	28	68	9	17	66	852	14	878	180	779	28	5	68	123	4	134	32	207	355	183	54	2257	19	11	166	20	73	82	39	46	54	23	17	141	59
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	355	42	147	215	2877	69	27	0	619	580	21	5	33	202	118	1608	198	66	32	21	325	6	2129	3794	6	74	290	64	32	3	1969	40	836	66	73	43	606	5490	69	562	64	17160	17	1420	165	990	112	33	1	947	58	46	325	4	13	1418	3	73	24	205	1	3106	34	480	3	1123	0	233	2078	44	54	84	0	84	271	270	57	4226	5	1	1454	964	183	10	41	24	1000	66	54	41	185
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	166	20	189	248	752	25	66	1	216	91	5	44	5	95	95	468	586	8	0	0	48	9	68	266	515	8	5	67	89	2	19	133	10	23	30	22	14	409	107	27	42	73	1	164	2	4	3	15	4	246	1	5	109	37	20	83	14	44	3	3	30	277	9	367	108	367	24	4	57	59	4	58	19	187	195	119	23	1166	18	3	48	6	54	33	24	31	36	8	9	64	30
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	33925	4299	6092	20566	74502	8	3392	10	91	1117	365	63	37	6328	967	80036	22332	509	6	40	13	739	37682	92	4	26	11950	381	4569	2	3719	2885	571	1017	325	24	5802	18359	68	755	5	72149	7	3581	432	391	3461	185	153	2880	206	829	300	323	121	2947	16	46	930	3754	52	164733	662	21	12	8867	142	41	4730	3932	361	16433	23	1706	3480	1405	819	38915	1	72	16248	2846	343	1576	7	3244	494	20	6361	464	1965
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	23590	1215	2434	1683	2628	0	1076	1	60	171	40	23	12	756	708	7331	5166	236	29	2	8	113	2031	23	5	53	541	34	499	15	423	444	29	559	14	6	272	2017	15	39	6	3428	358	221	59	20	1066	74	17	678	5	48	254	27	416	973	6	11	86	351	16	26900	40	5	1	3229	16	4	513	1023	42	832	7	103	1381	190	86	6992	4	20	2961	277	49	135	0	172	73	3	526	55	349
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;NA;NA;NA	0	174	11	94	149	26	225	0	507	6	56	121	109	215	894	6	8	2935	2907	1	2567	0	115	523	1	214	31	1407	19	761	447	2	0	299	172	494	1	542	21	0	1439	346	167	137	446	56	1	180	38	204	4	4	0	337	2323	3	179	9960	13	2173	154	0	591	251	42	230	5420	101	506	6	275	18	238	103	188	66	187	14	269	436	3635	695	438	29	129	81	4	65	31	1152	541
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Flavonifractor;s__Flavonifractor plautii	1	9	76	192	2	12	4	7	341	5	12467	3	7461	8170	383	24	23	13339	18040	1	27	5	84	4	0	4	13	2	4	8831	0	13	1	2	24	11	3	688	33	0	1183	4	13853	14	10	10	1	1463	12	2	0	0	3	31	5706	31	107	32637	3	13	25	5	15930	10	142	471	51	4877	25	14	12	3	3347	8	6	55	209	121	3254	488	41221	17	10028	6	3307	16	3	13	2	5791	1008
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;NA	0	0	130	2781	20	201	404	0	137	0	3	570	52	22	1	169	253	102	38	1	0	0	286	184	130	7	1001	0	0	36	1215	0	0	8	3930	1085	0	17	14	0	67	5312	29	1	22	241	0	2375	14	0	0	2	0	1422	2	13	550	47	727	209	1	0	0	1995	262	1143	0	4	667	267	0	0	1	0	1	2	4	1	21	0	2	0	13	81	3	0	0	8	0	23	148
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium baratii	0	0	0	278	3	6	11	0	4	0	0	49	1	5	0	0	12	8	2	0	0	0	8	0	5515	8	1728	0	0	5	0	0	0	0	96	33	0	0	1	0	1	2659	4	0	0	1059	0	2	1	0	0	0	0	118	0	0	47	1	29	3	0	0	0	175	0	33	0	0	2	5	0	0	0	0	0	0	6	0	0	0	0	0	3	3	1	0	0	2	0	9	15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum	0	0	0	273	22	15	24	0	10	0	0	39	3	47	0	0	0	7	3	1	0	0	3	0	0	0	60	0	0	2	23591	0	0	0	209	69	0	1	0	0	0	247	7	0	67	1	0	1	4	0	0	1	1	108	0	0	60	4	27	22	0	0	0	215	1	81	0	0	10807	17	0	0	0	0	0	0	0	0	3	0	0	8	4	1	0	0	0	0	0	23	890
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	1	0	4	121	290	7503	15210	1	5696	2	3	903	1731	2517	0	8	17	2350	626	2	0	0	3	26	1	44	22421	2	0	6	7	2	0	3	103124	32550	0	33	924	1	2415	134141	294	3	444	5	3	170	123	0	2	4	1	1357	14	2	34	2060	6	11144	0	2	1	67	28	31363	0	0	9	15204	2	3	1	0	1	2	119	4	1028	2	2	8	3	12	6	4	7	215	1	997	5153
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium paraputrificum	15	12	8	99530	213	1	2	3	3	17	0	14769	918	1207	6	4	29	872	1801	15	1	1	7	3	17	63	34	0	0	2028	79	2	0	0	15	1607	0	28	24	0	51	6010	2374	1	2	39	4	233	320	3	1	72	11	63962	98	4	28345	11	13	0	0	0	1	64231	10	10	3	5	86	3	0	8	0	11	3	55	102	9	1	1	0	3	606	9	90	3	0	10	0	401	3581
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens	2	0	8337	0	5	1	1	0	4	4	0	7	1	3162	0	13935	26735	69	0	1	1	2	9807	11215	45	0	11707	0	3	0	2	0	0	2	6947	1749	2	2626	5	4	0	100508	1	2	3	15379	0	362466	4	1	0	1	9	7706	0	0	23	270	29	2	2	2	0	9	22656	5	0	1	9	3	0	0	3	0	1	1	51	34	23	0	4	11	1	2091	9	0	0	2	0	442	1038
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hungatella;s__Hungatella hathewayi	0	1	87	2	3	486	1	0	2	1	0	1	1	13	15	10	6	66	279	7	95	0	0	12994	0	1	1	552	0	79	0	0	5	5	12	1	0	791	0	2	159	26	6	0	7	5	3	20	0	1	0	0	0	6	1922	0	11	4	0	68	5	8	75	0	1	107	11	0	0	8	237	0	14	5	13	4	132	146	9	38	84984	0	136	9	531	0	0	3	0	87	37
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium ramulus	6	21	6	43	38	8	15	99	41	467	7	24	3	173	282	22	1	1184	400	1	268	491	113	0	6	173	23	288	19	104	12	13	1	65	176	56	64	2332	234	2	610	66	0	9	2	1	16	95	10	134	4	5	23	247	1104	31	416	359	8	27	35	2	38	86	19	209	23	0	11	4	36	10	0	2	232	1090	6	2	43	13	8	6	64	9	11	1	0	10	0	310	252
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium ventriosum	0	200	0	2	40	0	9	0	24	1	0	0	0	64	16	0	0	1483	36	1	45	0	1	0	0	2	1	22	0	56	77	0	0	0	0	28	0	33	0	0	210	2	0	1	148	0	0	27	1	0	0	0	0	0	1563	0	0	116	0	1080	0	0	19	0	1	10	79	0	77	0	131	33	0	0	0	5	0	0	4	4	38	110	64	4	18	0	0	0	0	364	237
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;NA;NA	2	121	5	14	40	2	230	3	474	2	2	56	38	33	694	1	3	1755	1836	1	1268	1	48	84	0	109	41	873	17	409	19	2	0	315	31	90	2	61	15	0	1033	510	42	137	45	83	19	93	48	195	2	17	23	170	1477	11	45	6418	3	357	144	0	352	67	23	57	2008	52	23	16	123	3	35	58	87	25	13	9	238	70	872	65	292	54	43	72	1	43	64	542	163
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae	0	1	0	0	0	2	2	0	4	1	0	0	0	113	2	0	0	2	86	1	1	0	0	0	0	3	3	2	0	16	0	0	0	1	2	8114	0	0	1	0	21025	24	0	2	0	3	0	6	0	0	0	0	0	1	3216	3	0	4	0	0	0	0	1	0	53	0	0	0	0	0	7	0	0	3	0	0	7	0	7	0	4	0	27	0	0	0	0	0	0	14	89
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__[Ruminococcus] torques	0	32	0	0	0	0	148	1	266	0	0	2	13	2	114	0	0	352	292	1	1	0	1	0	0	39	14	184	0	62	0	0	0	204	0	11	0	10	2	0	225	115	0	6142	0	22	0	19	0	235	0	10	0	2	152	0	0	191	0	0	340	0	87	0	0	3	11	5	2	2	220	0	7	0	2	4	3	2	291	26	2	0	122	250	2	6	2	43	9	59	7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia obeum	1	101	18	5	15	0	24	0	53	2	0	54	0	93	786	1	11	1477	895	0	22098	2	51	0	0	61	31	642	1	234	0	2	0	94	57	9	3	5	636	0	16567	124	0	32	9	1	0	34	6	121	1	2	1	130	1410	3	26	1093	0	264	26	0	37	98	35	35	304	1	0	1	63	0	3	0	56	4	6	45	44	7	48	0	60	0	9	0	1	8	0	410	386
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia producta	0	32	2	0	0	0	160	0	279	0	0	0	2	2	103	0	0	26	330	0	8	0	0	6	0	31	22	105	0	69	0	0	0	0	0	4	0	18	1	0	494	382	4	7	0	64	0	6	0	31	0	0	0	0	19	1	1	12	0	0	3	0	146	2	4	0	0	0	0	0	60	0	14	0	0	0	16	2	47	23	1416	0	48	0	5063	0	0	15	0	9	7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus comes	0	6	4	5	5	0	21	3	34	1	3	17	1	4	47	0	3	3305	345	0	2818	2	34	9	0	89	1	2212	328	76	0	0	0	34	11	5	0	3	8	0	1624	20	5	20	0	5	0	86	45	126	1	0	0	39	2727	2	17	1515	0	7	5	0	157	26	4	59	28	1	0	0	51	0	2	5	28	4	13	7	82	26	2	0	228	0	3	3	0	8	0	797	44
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena contorta	0	16	0	2	9	3	33	1	86	3	0	0	4	4	133	0	0	73	803	0	38	0	2	32	1	1	10	284	1	156	0	0	0	60	0	306	1	231	5	0	633	121	7	149	0	15	0	10	0	7369	5	1	0	0	56	1	1	221	0	3	0	0	307	0	1	0	755	1	0	1	64	0	13	0	5	1	0	3	156	48	59	0	98	1	52	0	0	0	0	46	15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	0	62	0	2	5	0	105	0	238	0	3	2	206	193	187	6	1	298	530	0	350	0	190	15	0	25	7	231	0	123	12	2	0	118	61	213	3	32	19	0	5772	33	359	372	40	16	3	2382	8	3	0	11	4	5	377	4	143	269775	0	139	156	0	32	0	813	2	204	221	0	5	87	3	13	429	8	5	6	1	37	19	82	229	235	84	75	346	2	104	277	109	148
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] citroniae	1	0	1	2	0	32	2972	0	7864	1	1	10	0	5	8	0	3	36	766	0	61	0	0	759	0	0	3	71	3	304	0	0	0	1	1	1	0	10	0	0	172	11	1	1	2	1	1	34	2	3	0	0	0	9	342	1	0	23	0	37	2	0	238	0	1	2	21	0	0	1	9	599	279	0	4	2	94	2	3	1258	750	0	87	0	94	0	7	0	0	82	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] symbiosum	0	2	2	4	3	14	2	0	9	0	1	0	0	2	2	0	0	360	151	0	241	0	0	295	0	0	1	43	4	59	10	0	0	1	0	1	0	22	0	0	271	0	0	0	5	0	0	14	2	124	0	0	0	0	562	0	18	477	0	73	0	2	34	2	1	2	241	0	23	0	119	0	14	0	0	1	0	5	6	15	1994	25	78	0	8	0	0	0	0	114	15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	0	4	1	0	4	0	18	1	32	1	1	0	143	2	42	0	3	2256	133	1	237	0	2	8	0	3	3	78	1	24	0	0	0	9	1	1	0	3	2	0	158	4	195	318	3	3	0	61	8	8	0	0	1	0	2681	1	0	791	0	68	0	0	17	0	0	0	7238	170	0	2	11	0	4	322	0	1	0	3	13	3	74	0	36	10	9	329	0	0	0	760	15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	1	14	1	2	35	0	14	0	30	4	0	16	2	5	67	0	0	232	105	0	51	0	16	0	0	11	0	140	0	33	0	0	0	7	6	288	1	263	2	0	123	2	0	7	3	0	0	19	0	98	5	0	0	39	652	1	21	3159	0	104	5	0	144	48	7	64	376	0	0	0	18	0	12	0	14	0	0	1	3	24	202	0	31	0	3	0	0	3	0	82	22
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella;s__Tyzzerella nexilis	1	301	18	204	69	6	608	17	1475	22	10	71	58	45	1336	0	25	87516	5526	10	1292	12	90	17	0	208	14	1819	10	1180	55	15	0	822	21	126	4	141	62	0	2196	181	84	146	26	30	0	2033	65	360	10	4	1	221	76714	4	122	547	2	182	173	0	1353	135	23	197	129	57	41	5	402	3	82	89	128	5	32	6	508	197	59	51	4284	16	11	96	5	63	29	22828	578
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile	0	18	0	16	33	134	1	0	3	5	0	39	24	2	69	0	5	625	5302	1	33	0	44	1	0	60	0	178	0	717	0	0	0	0	130	16	0	0	1	1	164	0	44	4	0	0	0	52	0	94	4	1	0	109	231	0	25	7	0	0	3750	0	2	45	1	54	0	0	2	0	17	0	4	0	74	1	1	1	3	0	4	0	516	20	0	1	0	0	0	168	44
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii	0	6	0	0	9257	0	3	1	3	1281	0	17	1	89	27	0	0	733	91	4	51	0	24	0	0	45	1	60	0	17	22	2	0	0	2	1	1044	0	0	0	559	0	6	0	0	0	0	19	2	49	1552	1	0	53	1069	0	31	9	0	1	6	0	2	26	0	632	0	0	0	0	2	0	0	2	48	2	0	0	10	0	0	0	15	8	399	0	0	5	0	127	30
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;NA;NA	0	1	0	0	8	2	3	0	8	0	4	0	4	31	1	0	0	31	41	0	20	0	0	4	0	5	0	38	4	33	2	0	0	0	1	3	0	1	0	0	7	0	14	1	29	0	1	10	3	0	0	5	0	0	26	0	1	372	0	335	0	0	6	0	0	2	4051	0	9	2	0	0	4	0	2	4	0	1	3	11	101	14	14	0	6	0	0	2	0	146	82
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetivibrio;s__Acetivibrio ethanolgignens	0	6	1	2	1	1	4	0	18	0	0	11	814	60	1	1190	0	6	24	1	0	0	2	0	0	2	1	6	0	5	0	0	0	0	0	2	0	15	1	0	79	2	663	1	0	1	0	17	0	0	0	0	0	21	122	3	0	35	19	0	0	0	956	0	3	2	1	0	2	0	7	0	94	2	0	0	20	0	756	371	40	0	5	1	0	0	2	0	0	36	7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis	1	5	1	2	14	10	0	0	4	0	311	0	222	229	18	1	0	11	124	0	24	0	0	174	0	1	0	1	1	50	7	0	0	0	0	0	0	15	0	1	59	0	432	0	22	3	0	21	0	0	0	0	0	1	38	1	0	165	0	305	0	0	11	0	1	5	1601	124	2	0	3	0	3	0	1	1	9	5	119	78	1206	6	225	0	34	0	0	0	0	91	96
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	5	18	0	16	2185	0	4	0	18	0	5	42	4	4428	38	40	0	50	520	1	84	0	1	12	0	3	3	7	0	4142	46	0	0	0	4	175	1	1	3	1	26	0	2	1	3217	14	0	23	2	1	0	5	3	0	423	1	4	1665	2	66253	13	0	0	0	4	0	4576	6	34	0	2	3	1	0	1	2	1	0	9	6	25	102	10	4	2	0	1	0	0	483	12857
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	1	1	0	4	39	0	9	0	17	0	0	0	0	64	2	1	0	90	39	0	60	0	0	0	0	5	1	4	3	60	0	0	0	7	1	1	0	2	0	0	23	0	0	0	45	5	1	13	0	7	0	0	0	0	21	0	26	370	0	1028	0	0	1	0	1	0	22431	0	0	1	0	0	2	2	18	1	0	1	2	0	128	0	1	5	1	0	0	2	0	833	208
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum;s__Subdoligranulum variabile	0	0	1	0	0	1	3	0	6	2	7	0	0	13	42	0	0	31	124	0	75	0	0	33	0	3	0	150	0	29	19	0	0	0	0	0	0	0	0	0	159	0	1	0	22	1	0	8	2	1	0	0	0	0	53	0	19	192	0	13	0	0	27	0	1	0	8211	4	16	0	7	0	12	0	0	2	3	0	4	32	53	17	6	2	0	0	0	0	0	209	7
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium;s__[Clostridium] innocuum	2	14	1	13	15	2	3	0	6	5	0	53	4	24	81	1	2	162	3861	2	81	0	85	23	0	23	1	120	0	6630	0	0	0	0	13	12749	0	32	5	0	4858	9	4	17	10	3	0	47	0	321	1	13	0	185	29326	2	163	56	0	89	50	0	470	57	16	78	33	0	0	1	43	0	173	0	37	164	123	2	2683	364	237	3	615	18	28	25	1	179	41	96	22
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium;s__[Clostridium] spiroforme	0	15	0	11	0	0	0	1	12	0	14	4	0	49	5	0	3	10	3795	0	1	0	0	0	0	0	0	12	0	736	0	0	0	18	0	53	0	93	2	0	178	7	0	2	0	2	0	19	1	1	0	9	2	22	7	0	7	35	0	0	24	0	10	0	1	0	27	142	0	0	1114	0	2	0	9	0	1	0	0	4	2	0	153	10	2	0	0	31	49	14	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum	4	15379	5	34	3	6	72	1	13977	23	15916	1	1	34620	837	12	23	1	64	1	3	2	9	0	1	112	24	1	4	0	7	2	0	29067	4	70486	3	92008	812	1	3	0	1	2	5	2	3	116	0	3	2	0	2	51	562	11	3	4	5	46	23469	0	2	1	53	16	3	1017	16	4	1	0	883	2	6103	0	81	186	572	5755	25	14	113	4	0	1	6	0	0	533	7578
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis	0	0	1	0	9	0	3	0	14	0	8	23	0	2	42	0	0	166	103	0	84	1	26	1	0	9	0	266	0	18	0	0	0	6	11	19	1	23	1	0	73	0	0	3	0	0	0	11	1	286	0	0	0	70	105	1	23	1318	0	0	20	0	11	109	7	40	556	1	0	0	316	0	0	0	17	0	3	1	4	1	0	0	1719	0	0	0	0	5	0	46	7
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini	0	0	115	0	0	0	476	0	501	0	0	0	1	11	0	0	3	0	333	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	1	454	0	739	1	0	815	0	0	1	0	0	0	12	0	0	0	0	2214	0	407	0	0	1	0	0	0	2	0	1	4	0	9	0	7	0	798	107	0	2	0	0	33	1	0	0	307	0	5179	0	0	0	2	0	0	14	7
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera massiliensis	0	0	0	0	0	2	80	0	78	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	113	0	127	1	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	2	0	0	0	0	11037	25	0	2	0	0	49	1	0	0	101	0	7350	0	0	0	0	0	0	9	22
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula	3	106	2459	10692	7092	16	303	38	135	23	1	54	53100	336	2	1214	546	37794	23	10	0	3	7541	77	38	19912	10626	84	106	16	322	1574	51	11	41	53	14	9884	1531	2	745	13377	36935	55	152	2952	61	34162	551	2355	5	62	40	78	40	632	2	20839	4230	3672	40	20578	1114	1032	2993	31	18	4	59	854	26	479	3	4727	1147	2886	51	617	19754	31	1042	890	168	112368	2507	0	19	828	2011	9861	4249
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella seminalis	3	0	59	25	2	4	49196	1	36293	1	0	0	1	64	1	27	107	1	2474	1	9	4	4	0	1	1	7	0	3	4384	2	20	0	10	9	53853	1	64641	2	2	6135	26	1	8	0	3	7	203	0	0	0	0	2	1	3163	4	4	2	11	8	1	8	2	4	48	55	3	0	5	9	7	9655	1	3	8	2	100	79	1	1	44821	0	1	2	0	0	28	2	28	373	37
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium mortiferum	2	0	0	0	0	0	0	0	2	2	0	0	0	353	0	2	0	0	0	2	0	2	0	1	3	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	69432	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	2	0	3	1	480	0	0	0	0	0	0	0	0	0	0	5	52
k__Bacteria;p__Proteobacteria;NA;NA;NA;NA;NA	15	0	79	186	1442	23	160	0	85	164	3	10	27	16	2	0	282	34	248	109	508	23	1343	1388	1	30	980	4	858	99	17	0	187	471	193	86	211	31	21	119	28	1801	50	29	2	847	1	6	58	310	262	1	76	19	21	615	98	92	67	24	370	2	7	5908	3817	152	4	0	32	4	0	109	1	3	3	38	29	12	74	6	767	0	9	87	10	0	11	73	22	77	74
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Inquilinus;s__Inquilinus limosus	21	15	35	134	53	22	22	226	34	1467	19	33	1	486	119	61	2	0	0	2	1	2081	10	15	21	0	88	6	27	0	130	33	7	37	47	123	159	7494	668	5	5	185	0	4	0	1	42	150	0	1	15	11	23	602	1	47	710	2	17	6	12	3	6	48	48	201	9	1	70	5	8	10	1	0	1	2428	3	3	4	0	11	8	18	26	0	1	3	13	1	123	1186
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pickettii	29	1	12	5	42	22	5	7	25	14	10	20	18	566	9	21	19	5	11	12	40	14	6	13	4	8	16	26	13	2	17	11	4	3	13	8	9	59	8	6	7	7	13	8	17	17	10	12	2	18	4	17	4	4	4	15	19	7	10	11	12	14	3	8	10	33	26	15	27	11	4	23	7	20	8	18	516	16	12	12	46	17	3	5	9	30	10	10	5	1052	2380
